State,District,"Dealer Name","Dealer Address","Contact Person","Mobile Number","Email ID"
"Andhra Pradesh",produtur,"RK Door Plaza ","1/427-7, Jammalamadugu Road, Bollavaram,Opp. Sri Venkateswara Swamy Temple Road,Proddatur-516360","Mr. Raghava Reddy","6302173510, 9052760222",rkdoorplaza222@gmail.com
"Andhra Pradesh",Nandayala,"RSk EnterPrises","29/178/42,SBI-Colony,Nandyala,Kurnool, Andhra Pradesh,PIN : 518501","Mr.Krishna Reddy",9533333009,krishnareddy@gmail.com
"Andhra Pradesh",Nellore,"Maheswara Enterprises","B.V.Nagar, Main Road Center Nellore-524004","I.Ramana Reddy",9949712871,ramanareddyinganti@gmail.com
"Andhra Pradesh",visakhaptnam,"kausalya agencies","Block B,plot no 216,IDA,Autonagar,Gajuwaka, Visakhapatnam District, Andhra pradesh-530012","Mr. Amar",7675877774,md@kausalya.co.in
"Andhra Pradesh",kadapa,"Sarojini Enterprises","D.no-36/102-B,Agasya Arcade,Groundfloor,MadrasRoad,Chinnachouk,KADAPA. AndhrapradeshPincode-516003.","Mr murali kumar",7729006777,muralikumar31333@gmail.com
"Andhra Pradesh",madanapall,"Sri ram naresh iron and steel @play wood","Punganur road,Mulakaladinne cross road,OPP boyakonda Arch,Beside Heritage Dairy,Madanapally Andhrapradesh pin -517325","Kumar choudary",9618662550,kumarchowdarymapuri@gmail.com
"Andhra Pradesh",Nellore,"Bharath enterprises","D.NO 10-64,YSR statue circle,Banigisahrb pet Guduru town Andhrapradesh pin code534101","MR shaik samdani Basha",9391153815,
"Andhra Pradesh",Kurnool,"Shivaram agencies","D.NO.1/1646-1,Gandhinagar,Adoni BypassRoad,Yemmiganur,  Kurnoll dist Andhrapradesh.pincode.518360","Guru prasad",9052808007,shivaramagencies@gmail.com
"Andhra Pradesh","Eluru ","omkar sri jagannadh traders","D.no 3-146/2,GBG road ,Pata Chinthalapudi,beside john deerTractor showrom ground ,Chinthala pudi.eluru dist .  AP.Pincode.534460","Nagendra Rao Chinni",9440855699,chinninagendrarao@gmail.com
"Andhra Pradesh","Eluru ","vijaya home care industries","D,no 8-3-136,chittapuricomplex,Bossubomma center ,Aswaraopet Road,Jangareddy gudem,eluru dist.Ap.pincode. 534447","Appal Raju",9299995477/9666966125,vijayahomecareind@gmail.com
"Andhra Pradesh","East godavari","Sri Kalyani Interiors","Alumuru Road, Opp victory Bazar,MANDAPET, East godavariAndhrapradesh Pin code.533308.","Srinivas Rao",9849987999,srikalyaniinteriors@gmail.com
"Andhra Pradesh","East godavari","Phoenix infra","D.no. 2-42-50/1.Ground floor,Opp Raithu Bazzar,ILTDjunction,Rajahmundry,Eastgodavari,Andhrapradesh .pincode-533101",cyrus/srinivas,9030111441,phoenixinfradnw@gmail.com
"Andhra Pradesh",Kurnool,"CMR Traders","Flat No.: 26, Vivek Nagar, Near Surya Temple, Opp. Gooty Petrol Bunk, Kurnool - 518002","Lakshmi Reddy",8867789039,cmrtraders76@gmail.com
Assam,Guwahati,"SM Corporation Limited","Anil Plaza, 3rd floor, GS Road, Guwahati - 781005","Mr. Rishi Agarwal",9435048008,rishi@smgrp.net
Assam,Kamrup,"Brahmaputra Traders","Birkuchi, Near Marias Public School, N.C Road - 781001","Sanjay deka",9864922044,sanjoydeka9@gmail.com
Assam,Kamrup,"Bhagawati Iron &amp; Hardware Store","Ganeshguri, G S  Road - 781005",C.S.Bajoria,9435103067,bhagwati_iron@yahoo.co.in
Assam,Kamrup,"Kailash Enterprise","Bhetapara, Guwahati - 781028","Bubul Deka",9864061168,kailashentghy@gmail.com
Assam,Nagon,"R J &amp; Sons ","Itachali, R K  Path, Nagaon - 780001","Sanjay Nahata",9435061649,rjgroupassam@gmail.com
Assam,Barpeta/Pathshala,"Avinash Enterprise","Chandranagar, PS-Patacharkuchi, Pathshala - 781325","Jonemani Tahabildar",9435124368,Mahanandatahbildar@gmail.com
Assam,Kamrup,"Kailash Traders","Santipath R G Baruah Road Guwahati - 781024","Montu Deka",9435049822,ms_kailash_traders@yahoo.com
Assam,Kamrup,"Bajrang Steel &amp; Cement Cente","Bhetapara, Guwahati - 781028","Shubash Sharma",9435102803,bajrangsteelandcementcentre@gmail.com
Assam,Jorhat,"Puja Supply/Om Hardware","Jorhat Town, Jorhat - 785001","Bittu Poddar",8720986362,roshnipoddar13@gmail.com
Assam,Dulijan,"Chenireema Trader's","Dulijaan - 786692","Priyam Gogoi",9435038134,chenireematraders@gmail.com
Assam,Silchar,"Ghosh Enterprises","Vivekananda road, Silchar - 788007","Shyamal Ghosh",9435072783,shyamal.rmt@gmail.com
Assam,Dibrugarh,"H.B Global Enterprises","A.T. Road, South, opp. Kabarsthan,,Amolapatty","Mr. Harsha Bordoloi",7086258893,hbglobalenterprises23@gmail.com
Bihar,Gaya,"Ramesh Steel House","N.K Lal Road, Naer Dukani, Gaya -  823001","Priya Ranjan",9304049511,id-pranjan1624@gmail.com
Bihar,Gaya,"Mishra and Sons","Delha Bus Stand, Gaya - 823001","Navin Kumar Mishra",9431224199,mishrasons2@gmail.com
Bihar,Gaya,"Shyam Traders","Chanduti More, Near PNB Bank Gaya, Bihar - 823001","Arun Kumar Singh",9431085542,arunraygaya@gmail.com
Bihar,Nalanda,"Anil Trading","Sadhbhavna Chock, Nawada - 805110","Primal Kumar",9631513418,parimallove143@gmail.com
Bihar,Nalanda,"Bhagwat Prasad and Sons","Indra Chock, Nawada - 805110","Anjiny Prasad",7004510679,anjanikumar.kumar33@gmail.com
Bihar,Nalanda,"Shitla Traders","Bypas Road, Bihar sharif - 803101","Pankaj Kumar",9934115734,shitlatraders1501@gmail.com
Bihar,Patna,"Hemkund Traders","Kankarbagh Main Road, Patna - 800003","Mr. Sarbjeet Singh Gandhi",9204753111,hemkund.traders@gmail.com
Bihar,Begusarai,"Satyam Steel","Dairy Road, Near Mirchaiya Chowk , Barauni, Begusarai - 851112","Sudhir Sandilya",9973702672,satyamsteel851112@gmail.com
Bihar,Patna,"DK Enterprises","Power House Road, Begusarai - 851101","Neeraj Mangotiya",9431211451,neerajmegotia@gmail.com
Bihar,Darbhanga,"National Industrial Works","Maharani Godown, Darbhanga - 846004","Raj Nayak",7544880088,niwdarbhanga@gmail.com
Bihar,Purnia,"Interior &amp; Exterior Hub","2nd Floor, Purnea Market, R.N Shaw Chowk, Barta Bazar - 854301","Shivam Kumar",9608960900,ieh.purnea@gmail.com
Bihar,Patna,"Doors &amp; Window","Janta Fabricator, Uttam Palace, Opposite Of Reliance Digital, Near Jagdeo Path, Patna - 800014","Md. Aftab Alam",7782893255,doorswindow1zf@gmail.com
Bihar,Muzaffarpur,"Kamkhya Steel","Aghoria Bazar Chowk, Muzaffarpur - 842001",Kamkhya,9431238168,kamakhya0011@gmail.com
Bihar,Muzaffarpur,"Tara Sales","Brahampur Chowk, Muzaffarpur - 842003","Abhishek Kumar",9386898081,niteshkumartarasales@gmail.com
Bihar,Darbhanga,"Shree Kambla Traders","Indra Colony, Bajitpur Punchait, Ragherapura Road, Tulsipatti, Laheriasarai, Darbhanga - 846001","Anil Jha",9470404620,tarasales1989@gmail.com
Bihar,Patna,"BMW Ventures Ltd.","East Gandhi Maidan,1st Floor, Mona Cinema Complex,  Patna - 800004","Mr. Bijay Kishorepuria",9234667111,bijay@bmwventures.com
Bihar,Gaya,"Pasa Resources Pvt. Ltd.","House No. 372, A.P. Colony, Gaya - 823001, Bihar","Mr. Sudhir Agarwal",9334383366,skagarwal@pasahouse.com
Bihar,Begusarai,"Standard Steel","NH-31,Mohammadpur Chowk, Opp-Jai Mata De Petrol Pump,Begusarai-851101 ","Mr Chandan",9122700001/9430833133/9122700001,mailstandardsteel@gmail.com
Bihar,Nalanda,"AIM Traders","Shop no. 37, Bazar Samiti Rd, Ramchandrapur, Bihar Sharif, Bihar 803101","Manish kumar","091134 23663",aimtraders2019@gmail.com
Bihar,Motihari,"Apna Hardware and Sanitary","ward 29, Areraj road Raghunathpur,  Motihari,  BIHAR 845401","Anita Chaurasia ",8130830922,"apnahardware5@gmail.com "
Chandigarh,"New Chandigarh","Balwant &amp; Sons.","Pincode - 140901",,99914-87711,
Chandigarh,Chandigarh,"Satraj Enterprises","Plot No. 669, Phase II, Industrial Area, Chandigarh","Mr. Varun Kataria",98555-06280,satraj669@gmail.com
Delhi,Delhi,"Elegance Steel","7/25, Ground Floor, Kirti Nagar Industrial Area, Najafgarh Road, Delhi - 110015","Narender Giri",8700864343,elegancesteels@gmail.com
Gujarat,Banaskanta,"Yogesh Steel Traders","Near Batka Circle, Opp. Excelency Hotel, Palanpur Road, Deesa - 385536","Mahesh Bhai",9427309757,maheshnpatel2013@gmail.com
Gujarat,Navsari,"Laxmi traders","Near Grid, Bardoli Road, Kabilpore, Navsari-396424","Mayur Bhai",9723454881,Laxmi.navsari@gmail.com
Gujarat,Junagadh,"Sorath Sales","Jail Road, Opp. Railway Junction Road, Junagadh - 362001","Sabir Bhai",9825235890,sorathsales9@gmail.com
Gujarat,Rajkot,"Kothari Brothers","M.G. Road, Para Bazar, Opp. Bank of India, Rajkot - 360001","Nishit Kothari",6353858520,kothari_brothers2007@yahoo.co.in
Gujarat,Jetpur,"Ramkrupa Steel","Sudam Nagar, Jetpur, Gujarat - 360360","Kiran Bhai",9825772133,ramkrupa.steel@yahoo.co.in
Gujarat,Ahmedabad,"Anushka Enterprises","B-804, Nirman Complex , B/h Navrang Bus Stand, Navrangpura, Ahmedabad - 380009 ","Mr. Raghav Bihani",8347008224,raghavbihani@gmail.com
Gujarat,Surat,"Vijya Laxmi Trading","Ground Floor, Jay Maruti Complex, Udhna Darwaja, Suman DesaiWadi, Nr.TVS Showroom, Nr.Gujarat Samachar, Ring Road, Surat - 395002","Jigar Patel",9998949149,jigarpatel99989@gmail.com
Gujarat,Surat,"Vijya Laxmi Trading","Ground Floor, Jay Maruti Complex,  Udhna Darwaja, Suman Desai Wadi, Nr.TVS showroom, Ring Road Surat","Mr.Dhaval Patel",7041395944,tatapravesh.surat@gmail.com
Gujrat,Ahmedabad,"Shreeji Steel and Furniture","Ground floor,E-13,Dev arcade,station road,bavla, Ahmedabad,Gujrat - 382220","Chauhan Mahipatsinh",9898147563/9824058291,Shriji.fertilizers@yahoo.com
Haryana,Karnal,"Hari Om Metals","Opp. Subhash Gate, G.T. Road, Karnal, PIN - 132001","Dhirender Shah",9212736108,hariommetals@gmail.com
Haryana,Rohtak,"Steel Arena","SCO - A - 15, Shanti Tower, First Floor, Suncity Sector - 35, Rohtak - 124001","Dhirender Shah",9212736108,steelarena22@gmail.com
Haryana,Ambala,"Gopal Krishna Gupta &amp; Sons","170 Bank Road, Near Farookha, Khalsa School, Ambala Cant., Haryana, PIN - 133001","Dhirender Shah",9212736108,gopalsons51@yahoo.in
Haryana,Hisar,"Jain Steel","Old Anaj Mandi (Loha Mandi) , Hisar, Haryaa, PIN -  125001","Dhirender Shah",9212736108,adi.116mittal@yahoo.com
Haryana,"Sagar Nagar","Steel Arena","SCO - A - 15, Shanti Tower, First Floor, Suncity Sector - 35, Rohtak - 124001","Dhirender Shah",9212736108,steelarena22@gmail.com
Haryana,"Bahadurgarh (Jhajjar)","Jaswi Metals","61, Galleria Market, Omex City, Jhajjar Road, Bahadurgarh - 124507","Dhirender Shah",9212736108,jaswimatels@gmail.com
Haryana,Smalkha,"Kedarnath Traders","Hathwala Road, Near Patanjali Store, Smalkha, Panipat","Dhirender Shah",8700864343,kedarnathtraders6@gmail.com
Haryana,Rewari,"Om Sales","Near Rajesh Pilot Chowk, Gari Bolni Road,  Rewari - 123401","Sagar Nagar",9891054644,ms.omsales@rediffmail.com
Haryana,Rewari,"Deepak Engineering and Hardware","VOP Nahar, Kosli Kanina Road, Nahar, PIN - 123303","Sagar Nagar",9891054644,inder94.jeet@gmail.com
Haryana,Faridabad,"Sai Industries","Main Road, Sector 46, Faridabad. 121001. Opp. Eicher School.","Ishan Bhagat","'+91 9289324245","tatapravesh.tsl@saifabs.com "
"Himachal Pradesh","Mandi &amp; Kullu","Naina Industries","Main Road, Main Bazar, Ner Chownk, Mandi-175001","Lalit Saini",9418100182,nainaindustries@rediffmail.com
"Himachal Pradesh",Shimla,"Anil Associates","Chibber Complex, Near Malyana Bus Stop, Shimla H.P","Mr. Arun Kak",78077-89479,kak.arun@gmail.com
"Himachal Pradesh",Kangra,"Bhatnagar Hardware Store","Ward No. 1, Nagrota Bhawan, Kangra H.P","Mr. Amit Bhatnagar",94180-54412,amit.bhatnagar_7@yahoo.com
"Himachal Pradesh",Una,"Sagli Ram Sons","Village-Bharolian Kalan, Una H.P-174303","Mr. Rishav Sharma",97364-88283,rishavsharma613@gmail.com
"Jammu And Kashmir",Jammu,"Hindustan Sales Corporation","Hindustan Sales Corporation, Lane No. 1, Sidco Complex, Near Railway Flyover Bari Brahmana, Jammu -180012  ","Mr. Rajneesh","0191-220486, 9906681888",hscorp3@gmail.com
Jharkhand,Ranchi,"Nikhil Agency","Maharaja Market, Tupudana, Ranchi - 834003","Mr. Anuj / Anil  Kumar Sahu",9334428790,nikhilagency1982@gmail.com
Jharkhand,Ranchi,"Geeta Cement","Beside Mansay Fuel Centre, Boreya Road, Ranchi - 835240","Mr. Sanjay Narayan Tiwary",9835117728,geetacement2009@gmail.com
Jharkhand,Ranchi,"Shyama Steel","Near Hitension Colony, Namkum, Ranchi - 834010","Mr. Amar Keshari",9431447624,amarkeshari92@gmail.com
Jharkhand,Ranchi,"Steel Corner","Pandey Bhawan, Beside Hotel Crown Plaza, Main Road, Hinoo, Ranchi - 834002","Mr. Sandeep Kumar Pandey",9334616155,steelcornor.ran@rediiffmail.com
Jharkhand,Hazaribagh,"M/S RK Marble","Boddam Bazar, Hazaribagh - 825301","Mr. Raj Kumar Jain",6200704136,uni.chetan.uni@gmail.com
Jharkhand,Deoghar,"Durga Enterprises","Near Prabhat Khabar Office, Jhousagharhi, Dumka Road, Deoghar - 814112","Pramod Kumar Tibrewal",7004195002,pramodtibrewal@gmail.com
Jharkhand,Deoghar,"Multi Metals","Near Bajla Mahila College, Bajla Chowk, Deoghar - 814112","Prashant Bajla",9955642595,mmrbajlachowk@gmail.com
Jharkhand,Deoghar,"Jhajharia &amp; Sons","Near Indian Petrol Pump, Bypass, Dumka Road, Deoghar - 814112","Sumit Jhajharia",9931074730,sjhajharia970@gmail.com
Jharkhand,Dhanbad,"Aashiyana Enterprises","Aayan Complex, Shop No 3&amp;3a, First Floor, Opposite Pragati Nursing Home, Saraidhela, Dhanbad - 828127","Manish Singh",7004043225,mailtoaashiyana@gmail.com
Jharkhand,Bokaro,"Govind Steel","Purulia Road, CHAS, Opposite Laxmi Kanta, Bokaro - 827013","Mr. Gobind Prasad Agarwal",9431777146,keshavagarwal426@otlook.com
Jharkhand,Dhanbad,"Maa Bhawani Traders ","Near Binod Bihari Chowk, Pal Nagar, Baramuri Khattal, Dhanbad - 828130","Rajesh Kumar",9155738484,rajesh.kumar19802621@gmail.com
Jharkhand,Dhanbad,"Sriram Sales","Sriram Sles,  Gt Road,  Govindpur,  Dhanbad - 828109","Mr. Nandlal Agarwal",9204857626,nandsrs@yahoo.co.in
Jharkhand,Ranchi,"Pasa Resources Pvt. Ltd.","Pasa House, Lalpur, Circular Road, Ranchi - 834001, Jharkhand","Mr. Sudhir Agarwal",7004648229,skagarwal@pasahouse.com
Jharkhand,Dhanbad,"Nyanska Enterprises","Kasiyatand More, Near 99 Koylanchal Gate,  Bhuli Hirak Road, Dhanbad - 828104","Sammi Kumar",9905275003,nyanska022@gmail.com
Jharkhand,Ranchi,"Hari Kripa Sales","Booty More , Ranchi, Pin Code - 834012","Rankesh Prasad",9955711594,hari.kripa.brands@gmail.com
Karnataka,"DAKSHINA KANNADA",DRYWALLS,"9 100 12 1 OPPOSITE FISHERIES COLLEGE YEKKUR ROAD YEKKUR","Aboobakker Siddique",9482814875,drywallsmangalore@yahoo.com
Karnataka,UDUPI,"SQUBE STEELTECH","D NO 2 23 C OPP ROBOSOFT GOPALPURA SANTHEKATTE UDUPI",Mr.Vishnuprasad,7795701609,sqube.steeltech@gmail.com
Karnataka,BANGALORE,"UNITED PLYWOOD AGENCIES","113 9 OLD MADRAS ROAD ULSOOR BANGALORE","Mohammed Saad",9886366042,sales@unitedply.com
Karnataka,SHIVAMOGGA,"DHANVINE TRADERS","AURORA COFFEE SHOP GROUND FLOOR BENGALURU HONNAVAR ROAD GADIKOPPA SHIVAMOGGA","Deepak Hedge",9916302553,dhanvinetraders27@gmail.com
Karnataka,DAVANGERE,"BUILDEZY INFRA SOLUTIONS PVT LTD","RAVINDRANATH BADAVANE DEVARBELEKARE ROAD SHAMANUR DAVANGERE",N.Bhaskar,9742424433,buildesy@gmail.com
Karnataka,BANGALORE,"SPACEWARE DEZIGNS LLP","Sy No.230/2, Sarjapur Road, Dommasandra, Anekal Taluk, Bangalore - 562125",Mr.satyajit,9019570646,"info@spaceware.in  / info@spacedezigns.com"
Karnataka,BANGALORE,"UNITED PLYWOOD AGENCIES B2","1 ROYAL ENCLAVE BAGALUR MAIN ROAD SATHANUR BANGALORE","Mohammed Saad",9886366042,sales@unitedply.com
Karnataka,MYSORE,"UNITED PLYWOOD AGENCIES MYS","2564 1 2ND CROSS KALIDASA ROAD VANI VILAS MOHALLA MYSORE","Mohammed Saad",9886366042,sales@unitedply.com
Karnataka,Belgaum,"Sooji Enterprises ","125/A, Hosur Math Galli, New Double Road,Opp. Shivsrushti (Shivaji Garden),Shahapur,Belgaum,Karnataka ",Mr.Ankush,7619428735,aparnabgm@gmail.com
Kerala,Ernakulam,Rightpoint,"NH Byepass, Thammanam PO, Ernakulam, Kerala 682032","Antony GK",8606411765,rightpointkochi@gmail.com
Kerala,Kotayam,"East West Sales Corporation","Kodimatha, Kottayam, Kerala 686004",Saji,9447178410,Eastweststeel@yahoo.com
Kerala,Kottayam,"Jairaj Traders","Koothamattathil Building, Uzhavoor-686634",Simon,9656327200,jairajgroupsuzhavoor@gmail.com
Kerala,Kannur,"Naba Traders","Acc Building, NH66 Road, Kannur Thana, Kannur - 670012",Nazeer,9847086862,nabatradersknr@gmail.com
Kerala,Thrissur,"Suryakiran Traders","Pallinada Junction, Kallettumkara PO, TSR Dist, Kerala, Pin -680683","K.K. Poly",9447021424,kannamkunny.poly@gmail.com
Kerala,Thrissur,"Chakkeri Agencies","Chakkery Complex,  Near Moospet Bank, Jubilee Mission Road, Chelakkottukara, Trissur - 680005","Mathew C.R",9447819366,mathewcr1963@gmail.com
Kerala,Palakkad,"Sobha Steels","Chandapura, Kuzhalmannam,Palakkad, Kerala 678702","Moicky Ouseph Joy",9249611154,Sobhasteeljoy@gmail.com
Kerala,Kozhikode,Steelply,"Opp Vigilance office,Thondayad,Kozhikode-673016","Faisal KK",9895575752,faizallucky@gmail.com
Kerala,kottayam,"Vadison Enterprises","Cherpunkal, Kerala 686574",Tom,9447258590,vadanatom@gmail.com
Kerala,Alappuzha,"Sintex Craft","SNV Market, Kalarcode, Thookkukulam, Alappuzha-688003",Asokan,9446347826,
Kerala,Ernakulam,"Cube Doors","Sangamam Junction,Thrikkalathoor,Muvattupuzha,Ernakulam,Kerala-683541",Jalees,9744849195,jaleesppbec@gmail.com
Kerala,Ernakulam,"Ambattu Door Centre","Surya Complex, Velloorkunnam,Muvattupuzha , Ernakulam , Kerala-686661",Binu,9846467069,binuambattudoor@gmail.com
Kerala,Kottayam,"Thundathil Agencies","Ramapuram Bazar P.O , Kottayam,Kerala , 686576",Jomon,9037166248,thundathil19@yahoo.com
Kerala,Idukki,"Global Door world","SNDP Shopping Complex, Rajakkad,Idukki,Kerala -685566","Renjith Kumar PK",9656141104,globaldoorworldrkd@gmail.com
Kerala,Idukki,"Marbasil Trading","Near Mini Industries,Rajakumari South PO, Rajakumari ,Idukki ,Kerala-685619",Freddy,9072588001,fleminuthombrayil@gmail.com
Kerala,Idukki,"Idukki Home furnishing Materials","Padinjarekkara Building,Adimaly Road,Cheruthony,Idukki,Kerala -685602","Mr.Reji John",9446683922,idukkihome@gmail.com
Kerala,Malappuram,"Kerala Stores","Rajeev Gandhi Byepass Road, Near Malabar Hospital, Manjeri, Malappuram.-676121",Hamsa.M,9388026504,keralastoremanjeri@gmail.com
Kerala,Malappuram,"Dream Doors","Market road,Mongam,Malapuram-673642",Sainudheen,9633838713,
Kerala,Malappuram,"UK Steels","Munduparamamba, Malapuram, near Ramgas Agencies, Malapuram-676509",Anil,9846468485,uksteelsmpm@gmail.com
Kerala,Malappuram,"NK Modern Trading","Perumbarambu road,Edappal(PO),Malapuram-679576",Favas,9746846184,
Kerala,Kannur,"Engineering service","Goltens arcade,new bus stand,Payyannur,Kannur-670307",Padmanabhan,9388210994,
Kerala,Mangalore,"Dry Walls","9-100/12(1),Opp Fisheries college,NH-66,Yekkur,Mangalore-575002",Abdulla,9483540448,
Kerala,Kottayam,"Matha Metals","12/276 Alenchery Building,Thellakom PO,Kottayam,Kerala -686630",Sijo,8089196012,mathametals@rediff.com
Kerala,Ernakulam,"Abhilash Bed &amp; Furniture Mall","Abhilash Bed &amp; Furniture Mall, Union Bank Road, Perumbavoor, Ernakulam, Kerala- 683542",Prakash,9895248670,ampabhi@gmail.com
Kerala,Idukki,"Fortuno Build Solutions","1st Floor, KSM Building, Kolani-Vengaloor Bypass, Thodupuzha, Kerala- 685608","Jojin Varghese",9072605509,fortunobuilds@gmail.com
Kerala,Thrissur,"Sree Ventures","5/494-B, 70deg East Shopelia, Thrithallur, Vadanappally, Thrissur, Kerala- 680619","Lekha Rajesh",9188777169,sreeventurestcr@gmail.com
Kerala,Thiruvananthapuram,"Aluco Racking Systems","Mamom Road, Mamam, Attingal, Kerala- 695104",Rajendran,8281875007,alucoattingal@gmail.com
Kerala,Malappuram,"Alankar Trading and Contracting","Pattambi Road, Opp Federal Bank Chathalloor, Perinthalmanna, Malappuram, Kerala- 679322","Abdul Ashik",9037579850,alankartnc@gmail.com
Kerala,Thrissur,"Kadavil Ventures","Panangad, SN Puram, Thrissur, Kerala- 680665","Priyan P",9495513518,kadavilventures@gmail.com
Kerala,Kozhikode,"Mas Gallery","SH29, Chungam, Thamarassery, Kerala- 673573",Rafi,9645006329,masgallery100@gmail.com
Kerala,Thrissur,"Sree Ventures","X-213B, Muthuvara, Thrissur, Kerala- 680553","Lekha Rajesh",9188777169,sreeventurestcr@gmail.com
Kerala,Ernakulam,"Fortuno Build Solutions","1st Floor, Padinjarayil Buildings, SH 1, near SBI, Koothattukulam, Kerala 686662","Josni Joseph",9895868636,fortunobuilds@gmail.com
Kerala,Alapuzha,"Divine Marketing","No-305/c, Eara P. O. Alapuzha ","Tom andrews",8281542499 ,divinemarketing71@gmail.com
Kerala,Alapuzha,"Manjal homes pvt limited","24/238B, Velorvattom- Cherthala,Alappuzha-688524",shaji,9447505737,manjalhomes@gmail.com
Kerala,Malapuram,"Avadhar Build Mart","Tirur - Calicut Rd, Athanikal, Kolappuram, Kerala ",Sinan,8557027777,avadharsteelsklpm@gmail.com
Kerala,Thrissur,"Sree Ventures","Vll - 395 Nair's building Kunnamkulam, kambipalam",Rajesh,9447870900,sreeventurestcr@gmail.com
